#1 Hawaiian Barbecue,Las Vegas,NV,40,3.500000,Restaurants; Hawaiian; Seafood; Barbeque
#1 Sushi,Phoenix,AZ,64,4.000000,Asian Fusion; Restaurants; Japanese; Sushi Bars
1410 World Bier Haus,Calgary,AB,73,3.000000,Nightlife; Sports Bars; American (Traditional); Canadian (New); Food; Pubs; Bars; Restaurants; Grocery
15 North Roadside Kitchen,Charlotte,NC,25,3.500000,Restaurants; American (New)
155 Fahrenheit,Montreal,QC,9,4.500000,Bars; Burgers; Nightlife; Restaurants
1600 World Bier Haus,Calgary,AB,44,3.000000,Food; Gastropubs; Nightlife; Restaurants; Pubs; Canadian (New); Bars; Beer; Wine & Spirits
168 Sushi Japan Buffet,Mississauga,ON,211,3.500000,Sushi Bars; Asian Fusion; Japanese; Buffets; Restaurants
16th Street Sports Bar & Grill,Phoenix,AZ,47,3.500000,Nightlife; Sports Bars; American (Traditional); Bars; Food; Beer; Wine & Spirits; Burgers; Restaurants
17 South Booze & Bites,Las Vegas,NV,80,3.000000,Restaurants; American (New)
17 Steakhouse and Bar,Mississauga,ON,40,4.000000,Venues & Event Spaces; Steakhouses; Restaurants; Bars; Event Planning & Services; Nightlife
17 Steps Restaurant and Bar,Toronto,ON,16,4.000000,Mediterranean; Nightlife; Lounges; Bars; Restaurants
17th Street Cafe,Pittsburgh,PA,34,3.500000,American (Traditional); Italian; American (New); Restaurants
18 Asian and Sushi Bar,Charlotte,NC,122,3.000000,Sushi Bars; Asian Fusion; Restaurants
18 Degrees,Scottsdale,AZ,99,3.000000,Nightlife; Sports Bars; American (New); Breakfast & Brunch; Pizza; Bars; Restaurants; American (Traditional)
180 Secondi,Toronto,ON,35,4.500000,Restaurants; Pizza
180g,Montreal,QC,5,5.000000,Cafes; Books; Mags; Music & Video; Vinyl Records; Restaurants; Sandwiches; Shopping
188 Restaurant,Las Vegas,NV,9,4.000000,Italian; Asian Fusion; Vietnamese; French; Restaurants
1886 Buffalo Cafe,Calgary,AB,57,3.500000,Breakfast & Brunch; Cafes; Restaurants
1889 Cafe,Pittsburgh,PA,10,3.000000,American (Traditional); Restaurants
1890 at the Arcade,Cleveland,OH,37,3.000000,American (Traditional); Restaurants
1897 Market,Charlotte,NC,376,3.500000,Restaurants; Convenience Stores; Food; Bars; Pizza; Nightlife; Sandwiches; Beer; Wine & Spirits
1900 Asian Cuisine,Las Vegas,NV,63,3.500000,Dim Sum; Shanghainese; Chinese; Restaurants; Szechuan
1900 Mexican Grill,Charlotte,NC,89,3.500000,Restaurants; Mexican
1902 Tavern,Pittsburgh,PA,7,2.500000,Restaurants; American (Traditional)
1903 A Harley-Davidson Cafe,Toronto,ON,6,5.000000,Cafes; Restaurants
1909 Taverne Moderne,Montreal,QC,25,3.000000,Steakhouses; Restaurants; Bars; Seafood; Nightlife; Sports Bars
1915 Lan Zhou Ramen,Toronto,ON,77,3.500000,Ramen; Chinese; Restaurants; Japanese; Noodles
1918 Tap & Table,Calgary,AB,14,3.000000,Restaurants; Gastropubs; Canadian (New); Bars; Nightlife
1923 Bourbon Bar,Las Vegas,NV,84,3.500000,Venues & Event Spaces; Cocktail Bars; Arts & Entertainment; Lounges; Nightlife; Restaurants; Bars; American (Traditional); Event Planning & Services; Music Venues
1947 Tavern,Pittsburgh,PA,75,3.500000,Nightlife; Restaurants; Bars; American (New); American (Traditional)
2 Bros Cuisine,Toronto,ON,16,3.500000,Mediterranean; Restaurants; Food
2 Cochons,Montreal,QC,3,3.500000,Cafes; Food; Restaurants; Delicatessen; Sandwiches; Asian Fusion
2 Fat Guys Grilled Cheese,Phoenix,AZ,26,3.500000,Comfort Food; Restaurants; American (Traditional); Food Trucks; Food; Food Stands
2 Greek Gals,Calgary,AB,7,3.000000,Greek; Mediterranean; Restaurants
2 Men and A Pizza,Scottsdale,AZ,15,3.500000,Restaurants; Pizza
2 Pierrots,Montreal,QC,18,4.000000,Nightlife; Bars; Music Venues; Restaurants; Arts & Entertainment; Dance Clubs
2 Scoops of Aloha LV,Las Vegas,NV,71,4.000000,Restaurants; Breakfast & Brunch; Food Delivery Services; Food; Seafood; Hawaiian
2010 Fusion Restaurant,Las Vegas,NV,3,4.000000,Restaurants; Korean
204 North Kitchen & Cocktails,Charlotte,NC,240,4.000000,Event Planning & Services; Venues & Event Spaces; American (Traditional); Bars; Nightlife; Cocktail Bars; Restaurants; Breakfast & Brunch; American (New)
21 Lounge & Kitchen,Cleveland,OH,73,4.000000,Beer; Wine & Spirits; Lounges; Restaurants; American (New); Food; Sports Bars; Bars; Nightlife; American (Traditional)
21 Restaurant & Lounge,Las Vegas,NV,51,4.000000,Food; Bars; Lounges; Karaoke; Asian Fusion; Local Flavor; Beer; Wine & Spirits; Korean; Nightlife; Restaurants
221 Wine Bar,Las Vegas,NV,10,4.000000,Restaurants; Tapas/Small Plates
229,Mississauga,ON,15,4.000000,Restaurants; Nightlife; Latin American; Bars
24 Hour Soul Food Express,Las Vegas,NV,8,3.000000,American (Traditional); Soul Food; Restaurants; Food; Food Delivery Services
24 Seven Cafe,Las Vegas,NV,177,3.000000,American (Traditional); Cafes; Breakfast & Brunch; Restaurants
241 Pizza,Mississauga,ON,3,3.500000,Restaurants; Pizza
241 pizza,Toronto,ON,3,2.500000,Restaurants; Pizza
24th Street Pizza & Gyros,Phoenix,AZ,73,3.000000,Greek; Italian; Restaurants; Pizza
25 Degrees,Phoenix,AZ,60,3.500000,American (New); Restaurants
25 Liberty,Toronto,ON,30,3.500000,Comfort Food; Brasseries; Restaurants; French; Mediterranean; Breakfast & Brunch; Canadian (New)
259 Host,Toronto,ON,91,3.500000,Restaurants; Indian
2601 on Central,Phoenix,AZ,66,3.500000,New Mexican Cuisine; Pubs; American (Traditional); American (New); Restaurants; Sandwiches; Cocktail Bars; Comfort Food; Mexican; Nightlife; Bars
26th Street Market and Cafe,Pittsburgh,PA,5,3.000000,Food; Convenience Stores; Restaurants; Cafes; Breakfast & Brunch
27th Ave Bar n Grill,Phoenix,AZ,40,3.500000,Restaurants; American (New); Bars; Nightlife
28GO The Restaurant,Las Vegas,NV,102,4.000000,Restaurants; Bars; Nightlife; Korean; Wine Bars; Asian Fusion; Tapas/Small Plates; American (New); Breakfast & Brunch
2K Fusion,Montreal,QC,5,2.500000,Sushi Bars; Chinese; Thai; Restaurants; Vietnamese; Bars; Nightlife; Karaoke
2nd and High Poke House + Bar,Cleveland,OH,60,4.000000,Nightlife; American (Traditional); Food; Bars; Restaurants; Cocktail Bars; Seafood; Bagels; Hawaiian; Vegetarian; Poke; Desserts
2nd Annual Asian Food Festival,Las Vegas,NV,7,3.000000,Food; Restaurants; Indian; Arts & Entertainment; Festivals; Asian Fusion
2nd Nature Bakery and Cafe,Toronto,ON,7,4.500000,Bakeries; Food; Cafes; Gluten-Free; Restaurants
3 Amigos Cantina Grill,Montreal,QC,3,3.000000,Mexican; Restaurants; Tex-Mex
3 Brasseurs,Toronto,ON,3,4.500000,Salad; Sandwiches; Restaurants; Bars; Burgers; Nightlife
3 Castelos Grill House,Mississauga,ON,3,2.500000,Canadian (New); Restaurants
3 Eggs All Day Pub & Grill,Toronto,ON,3,3.000000,American (Traditional); Nightlife; Bars; Breakfast & Brunch; Pubs; Restaurants
3 For 2 Pizza and Wings,Mississauga,ON,4,4.500000,Restaurants; Pizza
3 Kings Cafe & Shisha Lounge,Toronto,ON,7,4.000000,Cafes; Bars; Hookah Bars; Restaurants; Lounges; Nightlife
3 Tomatoes & a Mozzarella,Scottsdale,AZ,5,3.500000,Food; Restaurants; Automotive; Italian
3 Tomatoes and A Mozzarella,Las Vegas,NV,53,3.500000,Italian; Pizza; Restaurants
3 Trade Food & Wine,Charlotte,NC,9,2.500000,Food; Beer; Wine & Spirits; Restaurants; American (New)
300 East,Charlotte,NC,649,4.000000,Breakfast & Brunch; Seafood; Nightlife; Wine Bars; American (New); Sandwiches; Bars; Restaurants; Pizza
303 Fusion Kitchen,Calgary,AB,10,4.000000,Taiwanese; Restaurants; Chinese
3030,Toronto,ON,101,3.000000,Music Venues; Canadian (New); Arts & Entertainment; Nightlife; Bars; Restaurants
309 Dhaba Indian Excellence,Toronto,ON,147,3.000000,Indian; Restaurants; Venues & Event Spaces; Event Planning & Services; Pakistani; Food; Food Delivery Services
31 Kitchen,Toronto,ON,48,3.000000,Tea Rooms; Food; Asian Fusion; Desserts; Restaurants; Japanese; Chinese; Ramen; Coffee & Tea
32 Chicken St.,Toronto,ON,9,4.500000,Chicken Shop; Burgers; Chicken Wings; Fast Food; Korean; Asian Fusion; Restaurants
32 Shea,Phoenix,AZ,687,4.000000,Nightlife; Food; Restaurants; Beer; Wine & Spirits; Coffee & Tea; Breakfast & Brunch; Bars; Wine Bars; Do-It-Yourself Food; Cafes
32nd Cafe,Phoenix,AZ,12,4.500000,Cafes; Restaurants; Mexican; American (New)
330 Takeout,Toronto,ON,7,3.500000,Sandwiches; Food; Restaurants; Coffee & Tea; Salad
341 Pizza,Mississauga,ON,7,4.000000,Restaurants; Pizza
35 Steaks + Martinis,Las Vegas,NV,181,4.000000,Lounges; Beer; Wine & Spirits; Food; Bars; Nightlife; Restaurants; Steakhouses
360 Bistro,Charlotte,NC,42,3.500000,Pizza; American (New); Restaurants
360 Gourmet Burrito,Las Vegas,NV,10,1.500000,Restaurants; Mexican; Fast Food
360 Restaurant,Toronto,ON,747,3.500000,American (New); Restaurants; Canadian (New); Vegetarian
360 Seahood,Toronto,ON,21,3.000000,Asian Fusion; Barbeque; Restaurants; Chinese
37 SOL Southwest Kitchen and Tequila Bar,Charlotte,NC,137,4.000000,Restaurants; Mexican; Bars; Nightlife
3734,Montreal,QC,23,4.500000,Cafes; Specialty Food; Restaurants; Delicatessen; Food; Mediterranean; Portuguese; Modern European; Breakfast & Brunch; Bistros
398 West,Toronto,ON,8,3.500000,Restaurants; Kosher
3on Smith Cafe,Phoenix,AZ,252,4.500000,American (New); Restaurants; Breakfast & Brunch; Sandwiches
3pm Cafe,Las Vegas,NV,32,3.000000,Japanese; Cafes; Juice Bars & Smoothies; Food; Taiwanese; Restaurants; Coffee & Tea
3Q,Calgary,AB,12,4.000000,Chinese; Bubble Tea; Food; Cafes; Taiwanese; Restaurants; Tea Rooms
3rd Avenue Grill,Scottsdale,AZ,3,3.500000,Nightlife; Bars; American (Traditional); Breakfast & Brunch; Restaurants; Lounges
3rd St Sushi & Bar,Phoenix,AZ,3,3.500000,Vietnamese; Bars; Restaurants; Nightlife; Sushi Bars
4 Origines,Montreal,QC,9,4.500000,Brewpubs; Brasseries; Nightlife; Breweries; Beer Bar; Restaurants; Food; Bars
4 Wood Grille,Pittsburgh,PA,10,2.500000,Restaurants; Food; American (Traditional)
40th Street Cafe,Phoenix,AZ,170,4.500000,Restaurants; Cafes; American (Traditional); Diners
416 Snack Bar,Toronto,ON,296,4.000000,Nightlife; Restaurants; Tapas/Small Plates; Bars
417 Restaurant + Lounge,Toronto,ON,7,4.000000,Bars; Canadian (New); Mediterranean; Lounges; Restaurants; Nightlife
420 Baking Companies,Las Vegas,NV,3,3.500000,Shopping; Health Markets; Gluten-Free; Local Flavor; Bakeries; Restaurants; Food; Macarons; Vegetarian; Specialty Food; Cannabis Dispensaries
48th and Crepe,Las Vegas,NV,183,3.500000,Breakfast & Brunch; Restaurants
4AM Bar & Lounge,Toronto,ON,4,5.000000,Restaurants; Bars; Nightlife; Lounges; Korean
4C Broast Chicken,Toronto,ON,12,3.500000,Fast Food; Halal; Restaurants
4saisons Sushi,Montreal,QC,9,3.000000,Restaurants; Japanese
4th Avenue Lounge,Calgary,AB,6,3.000000,Bars; Restaurants; American (Traditional); Nightlife; Lounges
4th Floor Grille & Sports Bar,Scottsdale,AZ,40,4.000000,Nightlife; Sports Bars; Food; Restaurants; American (Traditional); Bars
4th Spot Kitchen & Bar,Calgary,AB,127,4.000000,Bars; American (New); Nightlife; Burgers; Restaurants; Canadian (New)
4th Street Bar & Grill,Cleveland,OH,25,2.500000,Bars; American (Traditional); Restaurants; Cocktail Bars; Nightlife
4th Street Pizza,Calgary,AB,7,4.500000,Pizza; Restaurants
4u2 Shawarma & Steak,Toronto,ON,3,4.000000,Mediterranean; Steakhouses; Restaurants
5 & Diner,Phoenix,AZ,48,3.500000,Breakfast & Brunch; Restaurants; Sandwiches; Diners
5 & Diner Deer Valley,Phoenix,AZ,12,3.500000,American (New); Restaurants
5 Dollar Cafe,Las Vegas,NV,44,3.500000,American (Traditional); Thai; Chinese; Breakfast & Brunch; Restaurants
5 Elements Espresso Bar,Toronto,ON,17,3.000000,Food; Restaurants; Coffee & Tea; Cafes
5 Fools,Pittsburgh,PA,3,3.500000,Nightlife; American (Traditional); Restaurants; Bars
5 Points Coffee & Tea,Cleveland,OH,21,4.500000,Desserts; Food; Restaurants; Bakeries; Coffee & Tea; Breakfast & Brunch
5 R Cha Thai,Phoenix,AZ,8,3.500000,Restaurants; Thai
5 Saisons Sushi,Montreal,QC,24,4.000000,Restaurants; Sushi Bars
5 Spice Dining,Toronto,ON,12,3.500000,Indian; Pan Asian; Restaurants; Sri Lankan
5 Star Wings,Phoenix,AZ,5,3.000000,Barbeque; Chicken Wings; Restaurants; Soul Food
50 Shades Of Green,Las Vegas,NV,26,4.500000,Caterers; Food Trucks; Event Planning & Services; Restaurants; Food; Food Delivery Services; Sandwiches
50's Diner,Las Vegas,NV,10,3.500000,Restaurants; Diners
50's Diner Omelet House,Las Vegas,NV,330,4.000000,Restaurants; Breakfast & Brunch; Comfort Food; Burgers; Diners; American (Traditional)
500 Degrees Pizzeria,Charlotte,NC,168,4.000000,Pizza; Italian; Restaurants
505e,Charlotte,NC,8,3.500000,Restaurants; Sushi Bars; American (New)
51 Wings and Things,Pittsburgh,PA,50,4.000000,Chicken Wings; Hot Dogs; Burgers; Cheesesteaks; Food; Restaurants
520 BBQ House,Toronto,ON,10,3.000000,Barbeque; Chinese; Restaurants
521 Cafe & Bar,Toronto,ON,4,3.000000,Comfort Food; Food; Bars; Coffee & Tea; Restaurants; Nightlife
5280 Mexican Grub,Las Vegas,NV,6,4.000000,Food; Restaurants; Mexican; Food Trucks
52nd Street Market,Pittsburgh,PA,17,5.000000,Food; Grocery; Restaurants; Soup
5300 Boulevard,Cleveland,OH,3,1.500000,Restaurants; American (Traditional)
56th St Deli & Market,Phoenix,AZ,23,4.500000,Restaurants; Food; Convenience Stores; Delis; Grocery; Beer; Wine & Spirits
5801 Video Lounge and Cafe,Pittsburgh,PA,76,4.000000,Restaurants; Nightlife; American (Traditional); Bars; Gay Bars
595 Craft And Kitchen,Las Vegas,NV,358,4.500000,Restaurants; Asian Fusion; Bars; Cocktail Bars; Nightlife; Gastropubs; Beer Bar
5Church,Charlotte,NC,639,3.500000,Nightlife; Breakfast & Brunch; Desserts; Food; Cocktail Bars; American (New); Bars; Restaurants
5S17,Calgary,AB,29,3.500000,Japanese; French; Ramen; Asian Fusion; Restaurants
5spice Noodle Garden,Calgary,AB,11,4.500000,Specialty Food; Chinese; Food; Restaurants; Ethnic Food
5Stars Shawarma & Grill,Mississauga,ON,44,3.000000,Donairs; Restaurants; Imported Food; Middle Eastern; Mediterranean; Ethnic Food; Food; Specialty Food
5th and Wine,Scottsdale,AZ,529,4.000000,Bars; Restaurants; Nightlife; Wine Bars; American (Traditional); Pizza; American (New)
5th Avenue Cafe,Phoenix,AZ,230,4.000000,Restaurants; Breakfast & Brunch; Salad; American (Traditional); Diners
5th Elementt,Toronto,ON,73,3.000000,Indian; Restaurants; Italian
5th Street Arcades,Cleveland,OH,9,3.500000,Arcades; Shopping; Arts & Entertainment; Restaurants; Shopping Centers; Local Services
6 Degrees Urban Kitchen,Scottsdale,AZ,104,4.000000,Gastropubs; American (New); Nightlife; Bars; Cocktail Bars; Restaurants; Breakfast & Brunch
605 On Yonge,Toronto,ON,3,2.000000,Bars; Nightlife; Restaurants
613 Grill,Phoenix,AZ,28,3.500000,Kosher; Falafel; Mediterranean; Restaurants; Middle Eastern
61C Cafe,Pittsburgh,PA,94,3.500000,Cafes; Food; Coffee & Tea; Restaurants; Breakfast & Brunch
650 Cafe Bistro,Toronto,ON,9,4.500000,Coffee & Tea; Food; Restaurants; Mediterranean
6500 Tavern,Las Vegas,NV,4,5.000000,Salad; Tapas Bars; Restaurants; Pizza
68 Degrees Sabor,Phoenix,AZ,4,2.500000,Restaurants; Spanish
6ixTriangles,Toronto,ON,5,3.000000,Pop-Up Restaurants; Caterers; Event Planning & Services; Restaurants; Indian
6th Street Gastro Pub & Pizza,Toronto,ON,18,3.500000,Lounges; Nightlife; Bars; Pizza; Restaurants; Gastropubs; Southern; Tex-Mex; Pubs
7 Dim Sum,Toronto,ON,28,4.500000,Chinese; Restaurants; Dim Sum
7 Numbers Danforth,Toronto,ON,88,3.500000,Restaurants; Tapas Bars; Italian
7 Numbers Restaurant,Toronto,ON,99,4.000000,Italian; Restaurants
7 Seas Seafood & Grill Restaurant,Calgary,AB,23,3.500000,Filipino; Seafood; Restaurants
7 Senses,Pittsburgh,PA,3,4.500000,Local Services; Soul Food; Caterers; Comfort Food; American (Traditional); Food; Community Service/Non-Profit; Restaurants; Grocery; Food Banks; Event Planning & Services
7 Star Thai Cuisine,Toronto,ON,4,3.500000,Thai; Restaurants
7 West Cafe,Toronto,ON,351,3.500000,Nightlife; Bars; Breakfast & Brunch; Italian; Restaurants
7-Eleven,Las Vegas,NV,16,4.000000,Service Stations; Restaurants; Food; Gas Stations; Convenience Stores; Breakfast & Brunch; Gas Stations; Coffee & Tea; Automotive
70 Down,Toronto,ON,19,2.500000,Tapas/Small Plates; Restaurants; Nightlife; Mediterranean; Bars; Cocktail Bars
702 Karaoke,Las Vegas,NV,5,5.000000,Restaurants; Korean; Karaoke; Nightlife
702 Wing Spot,Las Vegas,NV,32,3.000000,Chicken Wings; Restaurants; Food
722 World Bier Haus,Calgary,AB,20,2.000000,Canadian (New); Restaurants
747 Wine Bar,Toronto,ON,41,3.500000,Bars; American (New); Lounges; Canadian (New); Tapas Bars; Restaurants; Nightlife; Wine Bars; Tapas/Small Plates
75th Thai Taste Restaurant,Phoenix,AZ,30,4.000000,Thai; Restaurants
786 Halal Biryani House,Toronto,ON,6,2.000000,Pakistani; Indian; Restaurants
786 Halal Restaurant,Toronto,ON,3,4.500000,Restaurants; Halal; Pakistani
7Grains Bakery & Cafe,Montreal,QC,24,2.000000,Salad; Bakeries; Sandwiches; Restaurants; Health Markets; Breakfast & Brunch; Food; Specialty Food
7th & Carson,Las Vegas,NV,234,4.500000,Tapas Bars; Bars; Cocktail Bars; Restaurants; Burgers; Pubs; American (New); Breakfast & Brunch; Nightlife
7th District Restaurant & Lounge,Charlotte,NC,84,3.500000,Tapas/Small Plates; Bars; American (New); Hookah Bars; Seafood; Nightlife; American (Traditional); Restaurants; Beer; Wine & Spirits; Lounges; Food
7th Heaven Eatery,Phoenix,AZ,8,3.000000,American (New); Restaurants
7th Street Public Market,Charlotte,NC,197,4.500000,Local Flavor; Wine Bars; Restaurants; Grocery; Food; Public Markets; Shopping; Farmers Market; Nightlife; Bars; Specialty Food; Beer Bar
8 Noodle Bar,Las Vegas,NV,262,3.500000,Restaurants; Chinese; Japanese; Asian Fusion
8 Sushi,Toronto,ON,49,3.500000,Sushi Bars; Japanese; Restaurants
8.2.0 Pizzeria & Bar,Charlotte,NC,64,4.000000,Karaoke; Event Planning & Services; Pizza; Nightlife; Bars; Cocktail Bars; Venues & Event Spaces; Restaurants
800 Degrees,Las Vegas,NV,465,3.500000,Food; Restaurants; Pizza
806 Martini and Wine Bar,Cleveland,OH,31,3.500000,Restaurants; Wine Bars; American (New); Bars; Nightlife
808,Las Vegas,NV,10,3.000000,Restaurants; Seafood
808 Social,Toronto,ON,4,4.000000,Cafes; Coffee & Tea; Food; Restaurants
808 Sushi,Las Vegas,NV,500,3.500000,Sushi Bars; Desserts; Japanese; Hawaiian; Food; Restaurants
808 Tapas,Las Vegas,NV,236,4.000000,Restaurants; Asian Fusion; Sushi Bars; Japanese
80th and Ivy,Calgary,AB,68,3.000000,Tapas/Small Plates; Restaurants
811 Kitchen Bar Lounge,Cleveland,OH,45,3.500000,Restaurants; Lounges; Bars; American (New); Cocktail Bars; Nightlife
850 Degrees Pizzeria,Toronto,ON,12,4.500000,Pizza; Restaurants; Italian
88 China Bistro,Charlotte,NC,85,3.500000,Chinese; Restaurants
88 Vietnamese Restaurant,Mississauga,ON,9,2.500000,Restaurants; Vietnamese
888 Noodle Bar,Las Vegas,NV,37,3.000000,Restaurants; Thai; Asian Fusion; Szechuan; Chinese
8ONO8 Musubi,Las Vegas,NV,3,3.000000,Food; Hawaiian; Restaurants; Specialty Food
8oz Korean Steak House,Las Vegas,NV,277,4.500000,Barbeque; Restaurants; Korean; Steakhouses
8th Ave Pizza,Las Vegas,NV,120,3.000000,Restaurants; Pizza
9 Bars,Toronto,ON,31,4.500000,Restaurants; Bars; Cafes; Food Delivery Services; Nightlife; Sandwiches; Food; Coffee & Tea
9 on the Plate,Las Vegas,NV,24,4.000000,Bars; Restaurants; Food; Nightlife; Korean
9 Restaurant,Toronto,ON,31,3.500000,Restaurants; Seafood; Nightlife; Asian Fusion; Bars; Tapas Bars; Korean
9 Thai kitchen,Las Vegas,NV,59,4.500000,Restaurants; Thai
90 Ninety Bar + Grill,Las Vegas,NV,84,4.000000,American (New); Restaurants; Cocktail Bars; Nightlife; Bars; Pubs
90 Second Pizzeria,Toronto,ON,6,3.500000,Restaurants; Pizza; Gluten-Free; Italian
900 Degree Pizza,Calgary,AB,8,4.500000,Restaurants; Pizza
9091,Las Vegas,NV,66,4.000000,Asian Fusion; Korean; American (New); Food Stands; Restaurants; Mexican
911 Taco Bar,Las Vegas,NV,18,5.000000,Restaurants; Caterers; Food Stands; Event Planning & Services
92nd Street Cafe,Scottsdale,AZ,149,3.000000,Restaurants; American (Traditional)
93 Harbord,Toronto,ON,18,3.000000,Middle Eastern; Restaurants
95 Ten,Las Vegas,NV,4,3.000000,American (New); Restaurants
977 Cafe,Toronto,ON,5,2.500000,Restaurants; Chinese
98 Aroma,Toronto,ON,67,4.000000,Chinese; Restaurants
99 Cent Sushi,Toronto,ON,6,2.000000,Restaurants; Japanese; Sushi Bars
@ Dawn,Charlotte,NC,69,4.000000,Cafes; Restaurants; American (New); Breakfast & Brunch
A & J Chicago Style Bar-B-Q,Phoenix,AZ,9,3.000000,Restaurants; Barbeque
A & K Chinese Restaurant,Las Vegas,NV,12,4.500000,Restaurants; Food; Chinese
A & L's Family Restaurant,Las Vegas,NV,6,2.500000,Restaurants; American (New)
A A Wok,Phoenix,AZ,6,3.000000,Restaurants; Chinese
A Bar and Kitchen,Cleveland,OH,124,4.000000,Bars; Restaurants; American (Traditional); Food; Nightlife; American (New); Beer; Wine & Spirits; Sports Bars
A Beverage Store,Montreal,QC,9,3.500000,Food; Restaurants; Cafes; Bubble Tea
A Cafe,Cleveland,OH,5,4.000000,Breakfast & Brunch; Restaurants
A Cafeteria By Morrison Farms,Charlotte,NC,8,3.000000,Cafes; Restaurants; American (Traditional)
A Cookie & A Cupcake Boutique,Cleveland,OH,40,3.500000,Restaurants; Gluten-Free; Bakeries; Food; Cupcakes
A Cut Above Restaurant,Las Vegas,NV,28,2.500000,Steakhouses; American (Traditional); Restaurants
A Family Secret,Las Vegas,NV,4,5.000000,Restaurants; Sandwiches; Food Trucks; Street Vendors; Food
A l'Os,Montreal,QC,9,4.000000,Steakhouses; French; Restaurants
A La Carte at the Gardiner,Toronto,ON,9,4.000000,Breakfast & Brunch; Brasseries; Restaurants; Sandwiches; Modern European
A La Crepes,Toronto,ON,28,3.000000,Sandwiches; Creperies; Halal; Food; Specialty Food; Coffee & Tea; Breakfast & Brunch; Restaurants
A la Fine Pointe,Montreal,QC,3,2.500000,American (Traditional); Restaurants; Steakhouses
A La Japonaise Experience Teriyaki,Montreal,QC,4,3.000000,Restaurants
A La Mode,Las Vegas,NV,21,4.500000,Restaurants; Gluten-Free; Food; Bakeries; Vegan
A La Saj,Calgary,AB,13,3.500000,Hookah Bars; Mediterranean; Vegan; Nightlife; Falafel; Bars; Middle Eastern; Restaurants
A La Turque,Toronto,ON,12,2.000000,Turkish; Restaurants
A Ladybug Bakery & Cafe,Calgary,AB,45,3.500000,Bakeries; Breakfast & Brunch; Food; Coffee & Tea; Desserts; Restaurants
A Mouthful Concessions & Catering,Charlotte,NC,9,4.000000,American (Traditional); Chicken Wings; Burgers; Restaurants
A Perfect Pizza,Calgary,AB,14,4.000000,Pizza; Restaurants; Indian
A Piece Of Havana,Charlotte,NC,311,3.500000,Restaurants; Cuban
A Pizza 555,Calgary,AB,3,3.000000,Restaurants; Pizza
A Pizza Plus,Calgary,AB,21,4.000000,Restaurants; Pizza
A Plus Buffet Sushi Bar,Calgary,AB,40,3.000000,Buffets; Sushi Bars; Restaurants; Diners; Japanese; Asian Fusion
A Quinta,Montreal,QC,16,3.500000,Restaurants; Portuguese
